############# 训练集结果 ############
Epoch:1, loss:0.6420014500617981, acc:0.7639380097389221
Epoch:2, loss:0.41165491938591003, acc:0.8529382944107056
Epoch:3, loss:0.3555443286895752, acc:0.8716424107551575
Epoch:4, loss:0.3245816230773926, acc:0.8821573853492737
Epoch:5, loss:0.3004680573940277, acc:0.8918370008468628
Epoch:6, loss:0.287411093711853, acc:0.8946049809455872
Epoch:7, loss:0.27153149247169495, acc:0.8999934196472168
Epoch:8, loss:0.2592056691646576, acc:0.90415358543396
Epoch:9, loss:0.24722331762313843, acc:0.908051609992981
Epoch:10, loss:0.2378835529088974, acc:0.9116384983062744
Epoch:11, loss:0.2290431708097458, acc:0.9144719839096069
Epoch:12, loss:0.22080592811107635, acc:0.9163554906845093
Epoch:13, loss:0.21362273395061493, acc:0.9204828143119812
Epoch:14, loss:0.2070402354001999, acc:0.9220387935638428
Epoch:15, loss:0.20015078783035278, acc:0.9249213933944702
Epoch:16, loss:0.19359590113162994, acc:0.9263135194778442
Epoch:17, loss:0.18558776378631592, acc:0.9294745922088623
Epoch:18, loss:0.18389824032783508, acc:0.9304572939872742
Epoch:19, loss:0.17675378918647766, acc:0.9338639974594116
Epoch:20, loss:0.17125485837459564, acc:0.9350596070289612

########### 测试集结果 ##########
test loss: 0.16402667760849, test acc: 0.9382666945457458
